epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.967,1.25483,1.45863,1.1473,0.86315,0.80592,0.85587,0.53649,1.25846,1.01351,1.17615,0.000665158,0.000665158,0.000665158
2,304.407,1.2636,0.86008,1.15491,0.929,0.84237,0.89516,0.55797,1.31895,0.84753,1.21119,0.00130545,0.00130545,0.00130545
3,448.468,1.25818,0.77478,1.15183,0.95052,0.85773,0.92585,0.60555,1.226,0.72039,1.182,0.00191935,0.00191935,0.00191935
4,590.789,1.25312,0.73971,1.14933,0.96903,0.89112,0.9339,0.62653,1.20353,0.66712,1.15504,0.0018812,0.0018812,0.0018812
5,733.535,1.20729,0.69576,1.13098,0.95234,0.90129,0.94693,0.63743,1.17243,0.59453,1.13075,0.0018416,0.0018416,0.0018416
6,876.408,1.2019,0.65536,1.12406,0.9748,0.89885,0.95037,0.64167,1.1974,0.58032,1.12893,0.001802,0.001802,0.001802
7,1018.78,1.20063,0.64614,1.12175,0.9519,0.91064,0.94143,0.62543,1.20355,0.59447,1.14616,0.0017624,0.0017624,0.0017624
8,1160.69,1.18835,0.63214,1.11874,0.96771,0.91253,0.95112,0.65058,1.17442,0.56537,1.12139,0.0017228,0.0017228,0.0017228
9,1303.16,1.16343,0.60887,1.10002,0.96466,0.92118,0.94997,0.64279,1.18793,0.57053,1.14262,0.0016832,0.0016832,0.0016832
10,1445.65,1.15807,0.60019,1.09871,0.96686,0.91754,0.95157,0.66375,1.13206,0.54063,1.09279,0.0016436,0.0016436,0.0016436
11,1588.24,1.14113,0.58296,1.08886,0.98192,0.9221,0.96191,0.66647,1.12872,0.51404,1.08824,0.001604,0.001604,0.001604
12,1731.02,1.13476,0.57741,1.08563,0.97765,0.92893,0.96352,0.66746,1.14175,0.51082,1.0932,0.0015644,0.0015644,0.0015644
13,1873.35,1.12726,0.5653,1.08083,0.97767,0.91738,0.96083,0.66717,1.13126,0.49753,1.08487,0.0015248,0.0015248,0.0015248
14,2015.06,1.12634,0.55932,1.08061,0.96629,0.92716,0.96178,0.675,1.13057,0.48754,1.07643,0.0014852,0.0014852,0.0014852
15,2157.22,1.11947,0.55137,1.07587,0.96982,0.92228,0.95902,0.66537,1.12457,0.48962,1.08518,0.0014456,0.0014456,0.0014456
16,2298.92,1.11819,0.54942,1.07275,0.97127,0.92938,0.95891,0.66888,1.12326,0.49486,1.08138,0.001406,0.001406,0.001406
17,2440.52,1.12111,0.54752,1.07788,0.97462,0.92726,0.96088,0.67085,1.11274,0.48771,1.08238,0.0013664,0.0013664,0.0013664
18,2585.95,1.104,0.53681,1.06446,0.97366,0.92893,0.96521,0.68469,1.1056,0.47234,1.06633,0.0013268,0.0013268,0.0013268
19,2729.36,1.1047,0.53108,1.06849,0.98346,0.92097,0.96318,0.67114,1.11781,0.48127,1.07776,0.0012872,0.0012872,0.0012872
20,2872.59,1.09082,0.5248,1.06761,0.9818,0.93406,0.96735,0.67546,1.10159,0.46093,1.072,0.0012476,0.0012476,0.0012476
21,3015.65,1.09656,0.51317,1.06365,0.98736,0.92665,0.96725,0.69513,1.09003,0.45045,1.06629,0.001208,0.001208,0.001208
22,3157.4,1.0962,0.51579,1.06847,0.98472,0.92984,0.96651,0.68547,1.09606,0.45248,1.06556,0.0011684,0.0011684,0.0011684
23,3298.3,1.09602,0.5091,1.06466,0.98119,0.93713,0.96694,0.68388,1.09906,0.4561,1.06427,0.0011288,0.0011288,0.0011288
24,3440.92,1.08178,0.50004,1.05694,0.97681,0.94049,0.96741,0.68129,1.0827,0.449,1.05922,0.0010892,0.0010892,0.0010892
25,3582.38,1.06129,0.50416,1.0504,0.98511,0.93466,0.96995,0.69202,1.086,0.43509,1.05449,0.0010496,0.0010496,0.0010496
26,3723.27,1.06893,0.49333,1.05098,0.9767,0.93569,0.96968,0.68451,1.09355,0.43645,1.05821,0.00101,0.00101,0.00101
27,3864.46,1.06657,0.48525,1.05629,0.98293,0.94214,0.97208,0.69151,1.07851,0.42532,1.05046,0.0009704,0.0009704,0.0009704
28,4008.83,1.06732,0.48832,1.05183,0.98232,0.93895,0.96639,0.69204,1.07934,0.42994,1.05711,0.0009308,0.0009308,0.0009308
29,4149.51,1.06208,0.47992,1.04859,0.98116,0.93622,0.96632,0.69196,1.08132,0.42859,1.05299,0.0008912,0.0008912,0.0008912
30,4289.76,1.05296,0.47559,1.04317,0.98655,0.93585,0.96633,0.68772,1.08096,0.42068,1.05742,0.0008516,0.0008516,0.0008516
31,4428.99,1.05099,0.46967,1.05138,0.98522,0.94135,0.97115,0.69412,1.06733,0.41141,1.04749,0.000812,0.000812,0.000812
32,4570.7,1.03662,0.46308,1.03907,0.98545,0.94123,0.97452,0.70101,1.06477,0.41923,1.0476,0.0007724,0.0007724,0.0007724
33,4713.22,1.04276,0.46385,1.04141,0.98803,0.9385,0.97443,0.70048,1.07544,0.41867,1.0549,0.0007328,0.0007328,0.0007328
34,4855.98,1.02829,0.45799,1.03465,0.98709,0.94074,0.97266,0.69516,1.07123,0.41176,1.0507,0.0006932,0.0006932,0.0006932
35,4996.79,1.02746,0.45096,1.03716,0.98297,0.94688,0.97465,0.70787,1.05859,0.4033,1.04633,0.0006536,0.0006536,0.0006536
36,5138.27,1.034,0.45,1.03811,0.98459,0.94487,0.97375,0.70663,1.06195,0.40567,1.04151,0.000614,0.000614,0.000614
